FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb012169_n1_i_p1_04_f 	 012169 	 i 	 04 	 f 	    258.620 	      2.000 	    -61.968 	     80.841 
mir_2a_orb012183_n1_e_p1_04_f 	 012183 	 e 	 04 	 f 	    259.360 	      9.233 	     57.962 	    138.520 
mir_2a_orb012201_n1_i_p1_04_f 	 012201 	 i 	 04 	 f 	    260.280 	      0.817 	    -64.586 	   -134.324 
mir_2a_orb012219_n1_e_p2_04_f 	 012219 	 e 	 04 	 f 	    261.230 	      9.450 	     58.993 	   -170.816 
mir_2a_orb012236_n1_i_p2_04_f 	 012236 	 i 	 04 	 f 	    262.090 	     23.483 	    -64.776 	    -77.731 
mir_2a_orb012255_n1_i_p2_04_f 	 012255 	 i 	 04 	 f 	    263.080 	     22.833 	    -63.858 	     87.505 
mir_2a_orb012267_n1_i_p2_04_f 	 012267 	 i 	 04 	 f 	    263.700 	     22.433 	    -62.951 	     97.509 
mir_2a_orb012285_n1_e_p2_04_f 	 012285 	 e 	 04 	 f 	    264.650 	      9.617 	     59.581 	     98.714 
mir_2a_orb012302_n1_e_p2_04_f 	 012302 	 e 	 04 	 f 	    265.530 	      9.617 	     59.566 	    -28.751 
mir_2a_orb012321_n1_i_p2_04_f 	 012321 	 i 	 04 	 f 	    266.490 	     21.000 	    -56.371 	    -32.793 
mir_2a_orb012339_n1_e_p2_04_f 	 012339 	 e 	 04 	 f 	    267.440 	      9.600 	     59.387 	    -10.275 
mir_2a_orb012355_n1_e_p2_04_f 	 012355 	 e 	 04 	 f 	    268.270 	      9.567 	     59.245 	   -109.572 
mir_2a_orb012375_n1_i_p2_04_f 	 012375 	 i 	 04 	 f 	    269.280 	     19.967 	    -46.321 	   -157.239 
mir_2a_orb012395_n1_e_p1_04_f 	 012395 	 e 	 04 	 f 	    270.330 	      9.417 	     58.473 	   -179.043 
mir_2a_orb012411_n1_e_p1_04_f 	 012411 	 e 	 04 	 f 	    271.150 	      9.350 	     58.103 	     81.012 
mir_2a_orb012438_n2_e_p1_04_f 	 012438 	 e 	 04 	 f 	    272.540 	      9.167 	     57.001 	     23.730 
mir_2a_orb012450_n1_i_p1_04_f 	 012450 	 i 	 04 	 f 	    273.140 	     18.867 	    -25.973 	   -165.530 
mir_2a_orb012458_n2_e_p1_04_f 	 012458 	 e 	 04 	 f 	    273.570 	      8.983 	     55.897 	    167.458 
mir_2a_orb012469_n1_i_p1_04_f 	 012469 	 i 	 04 	 f 	    274.110 	     18.617 	    -19.523 	      5.521 
mir_2a_orb012486_n1_i_p1_04_f 	 012486 	 i 	 04 	 f 	    274.990 	     18.400 	    -13.050 	   -125.803 
mir_2a_orb012495_n2_e_p1_04_f 	 012495 	 e 	 04 	 f 	    275.460 	      8.600 	     52.859 	   -179.877 
mir_2a_orb012505_n1_i_p1_04_f 	 012505 	 i 	 04 	 f 	    275.960 	     18.150 	     -5.490 	     45.134 
mir_2a_orb012513_n2_e_p1_04_f 	 012513 	 e 	 04 	 f 	    276.380 	      8.367 	     50.715 	     20.273 
mir_2a_orb012522_n1_i_p1_04_f 	 012522 	 i 	 04 	 f 	    276.830 	     17.917 	      1.959 	    -86.443 
mir_2a_orb012530_n2_e_p1_04_f 	 012530 	 e 	 04 	 f 	    277.250 	      8.133 	     48.127 	   -111.078 
mir_2a_orb012542_n1_i_p1_04_f 	 012542 	 i 	 04 	 f 	    277.850 	     17.633 	     10.809 	     55.149 
mir_2a_orb012550_n2_e_p1_04_f 	 012550 	 e 	 04 	 f 	    278.280 	      7.800 	     43.833 	     30.030 
