FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb005738_n1_i_p1_04_p 	 005738 	 i 	 04 	 p 	    352.040 	     18.117 	    -30.565 	    128.287 
mir_2a_orb005747_n2_e_p1_04_p 	 005747 	 e 	 04 	 p 	    352.430 	     16.050 	     83.016 	   -168.747 
mir_2a_orb005770_n2_e_p1_04_p 	 005770 	 e 	 04 	 p 	    353.390 	     17.050 	     77.935 	    -93.191 
mir_2a_orb005778_n1_i_p1_04_p 	 005778 	 i 	 04 	 p 	    353.710 	     18.000 	     -7.309 	     57.803 
mir_2a_orb005787_n2_e_p1_04_p 	 005787 	 e 	 04 	 p 	    354.100 	     17.450 	     71.694 	    145.644 
mir_2a_orb005983_n2_e_p1_04_p 	 005983 	 e 	 04 	 p 	      2.170 	      6.017 	    -13.354 	    102.891 
mir_2a_orb005995_n1_i_p1_04_p 	 005995 	 i 	 04 	 p 	      2.650 	      5.783 	     72.629 	    121.213 
mir_2a_orb006001_n2_e_p1_04_p 	 006001 	 e 	 04 	 p 	      2.900 	      6.050 	    -25.357 	    -53.867 
mir_2a_orb006013_n1_i_p1_04_p 	 006013 	 i 	 04 	 p 	      3.380 	      5.617 	     77.221 	    -37.429 
mir_2a_orb006019_n1_i_p1_04_p 	 006019 	 i 	 04 	 p 	      3.620 	      5.533 	     78.488 	    149.355 
mir_2a_orb006028_n2_e_p1_04_p 	 006028 	 e 	 04 	 p 	      3.990 	      6.100 	    -38.121 	   -108.388 
mir_2a_orb006038_n1_i_p1_04_p 	 006038 	 i 	 04 	 p 	      4.390 	      5.167 	     81.962 	    -40.954 
mir_2a_orb006058_n1_i_p1_04_p 	 006058 	 i 	 04 	 p 	      5.190 	      4.383 	     84.954 	     93.603 
mir_2a_orb006067_n2_e_p1_04_p 	 006067 	 e 	 04 	 p 	      5.570 	      6.200 	    -50.715 	   -146.259 
mir_2a_orb006076_n1_i_p1_04_p 	 006076 	 i 	 04 	 p 	      5.910 	      2.600 	     86.928 	    -89.275 
mir_2a_orb006086_n2_e_p1_04_p 	 006086 	 e 	 04 	 p 	      6.330 	      6.267 	    -55.284 	     29.494 
mir_2a_orb006099_n1_e_p1_04_p 	 006099 	 e 	 04 	 p 	      6.850 	      6.333 	    -58.005 	     17.249 
mir_2a_orb006107_n1_e_p1_04_p 	 006107 	 e 	 04 	 p 	      7.170 	      6.367 	    -59.655 	    148.265 
mir_2a_orb006125_n1_e_p1_04_p 	 006125 	 e 	 04 	 p 	      7.890 	      6.450 	    -62.725 	     -6.861 
mir_2a_orb006145_n1_e_p1_04_p 	 006145 	 e 	 04 	 p 	      8.690 	      6.567 	    -65.716 	    141.084 
mir_2a_orb006165_n1_e_p1_04_p 	 006165 	 e 	 04 	 p 	      9.480 	      6.700 	    -68.194 	    -70.728 
mir_2a_orb006184_n1_i_p1_04_p 	 006184 	 i 	 04 	 p 	     10.220 	     19.183 	     76.561 	    -58.356 
